timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532000217987,650,208 /auth/login,200,OK,JMeter Login 1-2,text,true,,1771,430,7,7,650,0,380
1532000218116,550,208 /auth/login,400,Bad Request,JMeter Login 1-3,text,false,,617,429,7,7,550,0,253
1532000218237,581,208 /auth/login,200,OK,JMeter Login 1-4,text,true,,1932,432,8,8,580,0,324
1532000218362,508,208 /auth/login,200,OK,JMeter Login 1-5,text,true,,1941,431,8,8,507,0,245
1532000218638,274,208 /auth/login,400,Bad Request,JMeter Login 1-2,text,false,,470,516,8,8,274,0,0
1532000218666,282,208 /auth/login,200,OK,JMeter Login 1-3,text,true,,1834,515,8,8,282,0,0
1532000218487,508,208 /auth/login,400,Bad Request,JMeter Login 1-6,text,false,,617,432,8,8,508,0,243
1532000218819,251,208 /auth/login,200,OK,JMeter Login 1-4,text,true,,1624,516,8,8,251,0,0
1532000218613,500,208 /auth/login,200,OK,JMeter Login 1-7,text,true,,2027,427,8,8,500,0,241
1532000218870,299,208 /auth/login,400,Bad Request,JMeter Login 1-5,text,false,,470,515,8,8,299,0,0
1532000218912,355,208 /auth/login,200,OK,JMeter Login 1-2,text,true,,1785,518,8,8,355,0,0
1532000218949,354,208 /auth/login,200,OK,JMeter Login 1-3,text,true,,1794,517,8,8,354,0,0
1532000218741,620,208 /auth/login,200,OK,JMeter Login 1-8,text,true,,1715,429,8,8,620,0,238
1532000218995,398,208 /auth/login,400,Bad Request,JMeter Login 1-6,text,false,,470,518,8,8,398,0,0
1532000219071,389,208 /auth/login,200,OK,JMeter Login 1-4,text,true,,1880,513,8,8,383,0,0
1532000219114,414,208 /auth/login,400,Bad Request,JMeter Login 1-7,text,false,,470,516,8,8,414,0,0
1532000219170,470,208 /auth/login,200,OK,JMeter Login 1-5,text,true,,1834,515,8,8,470,0,0
1532000217859,1856,208 /auth/login,200,OK,JMeter Login 1-1,text,true,,1715,429,8,8,1856,0,239
1532000219268,545,208 /auth/login,200,OK,JMeter Login 1-2,text,true,,1568,515,8,8,545,0,0
