timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532065092483,1546,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1887,421,8,8,1546,0,1114
1532065092497,1566,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1932,426,8,8,1566,0,1127
1532065092623,1448,41 /auth/login,200,OK,Thread Group 1-3,text,true,,2027,421,8,8,1448,0,1023
1532065092748,1385,41 /auth/login,200,OK,Thread Group 1-4,text,true,,1771,424,8,8,1385,0,1047
1532065092875,1352,41 /auth/login,400,Bad Request,Thread Group 1-5,text,false,,617,421,8,8,1352,0,1033
1532065093001,1373,41 /auth/login,200,OK,Thread Group 1-6,text,true,,1887,421,8,8,1372,0,1040
1532065094228,804,77 /api/Ticket/getbyorg/0,401,Unauthorized,Thread Group 1-5,,false,,515,404,8,8,804,0,0
1532065093126,2267,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1932,426,8,8,2267,0,1042
1532065093251,2181,41 /auth/login,200,OK,Thread Group 1-8,text,true,,2027,421,8,8,2181,0,1024
1532065094030,1526,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-1,text,true,,190780,1189,8,8,787,0,0
1532065094072,2683,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-3,text,true,,190780,1269,8,8,1933,0,0
1532065095073,1903,3 /api/Ticket/create,401,Unauthorized,Thread Group 1-5,,false,,515,568,8,8,1902,0,499
1532065094064,2924,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-2,text,true,,190780,1215,8,8,2178,0,0
1532065096976,493,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,424,8,8,493,0,0
1532065094135,3481,77 /api/Ticket/getbyorg/H1b9MM9zQ,200,OK,Thread Group 1-4,text,true,,47971,1123,8,8,3217,0,0
1532065094375,3434,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-6,text,true,,190780,1189,8,8,2689,0,0
1532065095557,2296,3 /api/Ticket/create,200,OK,Thread Group 1-1,text,true,,582,1361,8,8,2296,0,1032
1532065096755,1638,3 /api/Ticket/create,200,OK,Thread Group 1-3,text,true,,582,1442,8,8,1638,0,1028
1532065096989,1404,3 /api/Ticket/create,200,OK,Thread Group 1-2,text,true,,582,1388,8,8,1404,0,1043
1532065095394,3267,77 /api/Ticket/getbyorg/rkZJDf9fm,200,OK,Thread Group 1-7,text,true,,191430,1215,8,8,2487,0,1034
