timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532000128447,1763,41 /auth/login,200,OK,Thread Group 1-3,text,true,,2027,453,8,8,1763,0,1257
1532000128413,1808,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1932,458,8,8,1808,0,1295
1532000128698,1611,41 /auth/login,400,Bad Request,Thread Group 1-5,text,false,,617,453,8,8,1611,0,1019
1532000128572,1751,41 /auth/login,200,OK,Thread Group 1-4,text,true,,1771,456,8,8,1751,0,1147
1532000128413,1950,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1887,453,8,8,1950,0,1313
1532000128824,1564,41 /auth/login,200,OK,Thread Group 1-6,text,true,,1887,453,8,8,1564,0,1072
1532000128949,1507,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1932,458,8,8,1507,0,1024
1532000129075,1460,41 /auth/login,200,OK,Thread Group 1-8,text,true,,2027,453,8,8,1460,0,1038
1532000130310,271,28 /api/Organization/getall,401,Unauthorized,Thread Group 1-5,,false,,515,412,8,8,271,0,0
1532000130325,367,28 /api/Organization/getall,200,OK,Thread Group 1-4,text,true,,2943,1123,8,8,366,0,0
1532000130213,486,28 /api/Organization/getall,200,OK,Thread Group 1-3,text,true,,2943,1269,8,8,486,0,0
1532000130222,496,28 /api/Organization/getall,200,OK,Thread Group 1-2,text,true,,2943,1215,8,8,496,0,0
1532000130365,391,28 /api/Organization/getall,200,OK,Thread Group 1-1,text,true,,2943,1189,8,8,391,0,0
1532000130390,375,28 /api/Organization/getall,200,OK,Thread Group 1-6,text,true,,2943,1189,8,8,375,0,0
1532000130457,326,28 /api/Organization/getall,200,OK,Thread Group 1-7,text,true,,2943,1215,8,8,326,0,0
1532000130536,283,28 /api/Organization/getall,200,OK,Thread Group 1-8,text,true,,2943,1269,8,8,283,0,0
1532000130818,340,38 /api/Organization/create,200,OK,Thread Group 1-7,text,true,,638,1271,8,8,340,0,0
1532000130818,351,38 /api/Organization/create,200,OK,Thread Group 1-6,text,true,,635,1241,8,8,351,0,0
1532000130820,350,38 /api/Organization/create,200,OK,Thread Group 1-8,text,true,,639,1325,8,8,350,0,0
1532000130818,1299,38 /api/Organization/create,401,Unauthorized,Thread Group 1-5,,false,,515,466,8,8,1299,0,1055
1532000130819,1389,38 /api/Organization/create,200,OK,Thread Group 1-3,text,true,,634,1321,8,8,1389,0,1054
1532000130820,1388,38 /api/Organization/create,200,OK,Thread Group 1-4,text,true,,637,1177,8,8,1388,0,1063
1532000130818,1409,38 /api/Organization/create,200,OK,Thread Group 1-1,text,true,,637,1243,8,8,1409,0,1067
1532000130819,1435,38 /api/Organization/create,200,OK,Thread Group 1-2,text,true,,639,1271,8,8,1435,0,1072
1532000132118,257,39 /api/Organization/getall,401,Unauthorized,Thread Group 1-5,,false,,515,412,8,8,257,0,0
1532000131159,1321,39 /api/Organization/getall,200,OK,Thread Group 1-7,text,true,,3447,1215,7,7,1321,0,1022
1532000131171,1405,39 /api/Organization/getall,200,OK,Thread Group 1-8,text,true,,3447,1269,6,6,1405,0,1025
1532000132209,376,39 /api/Organization/getall,200,OK,Thread Group 1-4,text,true,,3447,1123,5,5,376,0,0
1532000132209,388,39 /api/Organization/getall,200,OK,Thread Group 1-3,text,true,,3447,1269,4,4,387,0,0
1532000131170,1445,39 /api/Organization/getall,200,OK,Thread Group 1-6,text,true,,3447,1189,3,3,1445,0,1039
1532000132227,398,39 /api/Organization/getall,200,OK,Thread Group 1-1,text,true,,3447,1189,2,2,398,0,0
1532000132255,397,39 /api/Organization/getall,200,OK,Thread Group 1-2,text,true,,3447,1215,1,1,397,0,0
