timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532000154993,1293,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1715,455,8,8,1293,0,1034
1532000155092,1332,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1887,453,8,8,1332,0,1031
1532000155220,1287,41 /auth/login,200,OK,Thread Group 1-3,text,true,,1932,458,8,8,1287,0,1030
1532000155345,2036,41 /auth/login,200,OK,Thread Group 1-4,text,true,,2027,453,8,8,2036,0,1022
1532000155471,1933,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,456,8,8,1933,0,1023
1532000155598,1917,41 /auth/login,400,Bad Request,Thread Group 1-6,text,false,,617,453,8,8,1917,0,1035
1532000155723,1832,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1715,455,8,8,1832,0,1014
1532000156288,1505,80 /api/Inventory/getall/,200,OK,Thread Group 1-1,text,true,,183083,1086,8,8,724,0,0
1532000155861,1933,41 /auth/login,200,OK,Thread Group 1-8,text,true,,1887,453,8,8,1933,0,1028
1532000157516,993,80 /api/Inventory/getall/,401,Unauthorized,Thread Group 1-6,,false,,515,407,7,7,993,0,0
1532000156425,2527,80 /api/Inventory/getall/,200,OK,Thread Group 1-2,text,true,,183083,1184,6,6,1760,0,0
1532000156507,2650,80 /api/Inventory/getall/,200,OK,Thread Group 1-3,text,true,,183083,1210,5,5,1881,0,0
1532000157555,2523,80 /api/Inventory/getall/,200,OK,Thread Group 1-7,text,true,,183083,1086,4,4,1777,0,0
1532000157794,2497,80 /api/Inventory/getall/,200,OK,Thread Group 1-8,text,true,,183083,1184,3,3,1749,0,0
1532000157405,3134,80 /api/Inventory/getall/,200,OK,Thread Group 1-5,text,true,,183083,1118,2,2,2364,0,0
1532000157382,3530,80 /api/Inventory/getall/,200,OK,Thread Group 1-4,text,true,,183083,1264,1,1,2754,0,1027
