timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532000187851,1354,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1715,455,8,8,1353,0,1088
1532000187958,1307,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1887,453,8,8,1307,0,1028
1532000188084,1294,41 /auth/login,200,OK,Thread Group 1-3,text,true,,1932,458,8,8,1294,0,1035
1532000188209,1343,41 /auth/login,200,OK,Thread Group 1-4,text,true,,2027,453,8,8,1343,0,1029
1532000189207,494,79 /api/Invoices/getall,200,OK,Thread Group 1-1,text,true,,4791,1083,8,8,494,0,0
1532000188334,1428,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,456,7,7,1428,0,1028
1532000189266,514,79 /api/Invoices/getall,200,OK,Thread Group 1-2,text,true,,4791,1181,7,7,514,0,0
1532000188461,1405,41 /auth/login,400,Bad Request,Thread Group 1-6,text,false,,617,453,6,6,1405,0,1044
1532000189379,501,79 /api/Invoices/getall,200,OK,Thread Group 1-3,text,true,,4791,1207,6,6,501,0,0
1532000188586,1363,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1715,455,5,5,1363,0,1049
1532000189553,421,79 /api/Invoices/getall,200,OK,Thread Group 1-4,text,true,,4791,1261,5,5,419,0,0
1532000188711,1285,41 /auth/login,200,OK,Thread Group 1-8,text,true,,1887,453,4,4,1285,0,1026
1532000189763,293,79 /api/Invoices/getall,200,OK,Thread Group 1-5,text,true,,4791,1115,4,4,292,0,0
1532000189867,244,79 /api/Invoices/getall,401,Unauthorized,Thread Group 1-6,,false,,515,404,3,3,244,0,0
1532000189950,303,79 /api/Invoices/getall,200,OK,Thread Group 1-7,text,true,,4791,1083,2,2,303,0,0
1532000189997,374,79 /api/Invoices/getall,200,OK,Thread Group 1-8,text,true,,4791,1181,1,1,370,0,0
