timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532064754696,1297,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1715,455,8,8,1297,0,1038
1532064754822,1296,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1887,453,8,8,1296,0,1037
1532064754954,1441,41 /auth/login,200,OK,Thread Group 1-3,text,true,,1932,458,8,8,1441,0,1053
1532064755084,1338,41 /auth/login,200,OK,Thread Group 1-4,text,true,,2027,453,8,8,1338,0,1027
1532064755210,1483,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,456,8,8,1483,0,1035
1532064755336,1437,41 /auth/login,400,Bad Request,Thread Group 1-6,text,false,,617,453,8,8,1437,0,1060
1532064755463,1530,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1715,455,8,8,1530,0,1033
1532064755995,998,59 /api/SalesOrder/getall,200,OK,Thread Group 1-1,text,true,,76245,1083,8,8,324,0,0
1532064756119,924,59 /api/SalesOrder/getall,200,OK,Thread Group 1-2,text,true,,76245,1181,8,8,402,0,0
1532064756775,314,59 /api/SalesOrder/getall,401,Unauthorized,Thread Group 1-6,,false,,515,404,8,8,314,0,0
1532064755589,1555,41 /auth/login,200,OK,Thread Group 1-8,text,true,,1887,453,8,8,1555,0,1053
1532064757090,356,69 /api/SalesOrder/get/,401,Unauthorized,Thread Group 1-6,,false,,515,419,8,8,356,0,0
1532064756396,1050,59 /api/SalesOrder/getall,200,OK,Thread Group 1-3,text,true,,76245,1207,8,8,547,0,0
1532064756423,1092,59 /api/SalesOrder/getall,200,OK,Thread Group 1-4,text,true,,76245,1261,7,7,595,0,0
1532064756695,1174,59 /api/SalesOrder/getall,200,OK,Thread Group 1-5,text,true,,76245,1115,7,7,681,0,0
1532064756995,1321,59 /api/SalesOrder/getall,200,OK,Thread Group 1-7,text,true,,76245,1083,7,7,729,0,0
1532064757145,1310,59 /api/SalesOrder/getall,200,OK,Thread Group 1-8,text,true,,76245,1181,7,7,691,0,0
1532064756998,1533,69 /api/SalesOrder/get/533,200,OK,Thread Group 1-1,text,true,,2177,1101,7,7,1533,0,1116
1532064757047,1574,69 /api/SalesOrder/get/528,200,OK,Thread Group 1-2,text,true,,1498,1199,6,6,1574,0,1256
1532064757449,1491,69 /api/SalesOrder/get/574,200,OK,Thread Group 1-3,text,true,,2835,1225,5,5,1491,0,1136
1532064757519,1468,69 /api/SalesOrder/get/554,200,OK,Thread Group 1-4,text,true,,1491,1279,4,4,1468,0,1131
1532064757871,1539,69 /api/SalesOrder/get/144,200,OK,Thread Group 1-5,text,true,,2855,1133,3,3,1539,0,1261
1532064758318,1379,69 /api/SalesOrder/get/149,200,OK,Thread Group 1-7,text,true,,3740,1101,2,2,1379,0,1075
1532064758457,1308,69 /api/SalesOrder/get/580,200,OK,Thread Group 1-8,text,true,,2836,1199,1,1,1308,0,1031
