timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532000293241,1441,41 /auth/login,200,OK,Thread Group 1-3,text,true,,1887,453,8,8,1441,0,1035
1532000293241,1565,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1715,455,8,8,1565,0,1050
1532000293241,1628,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1932,458,8,8,1628,0,1050
1532000293340,1598,41 /auth/login,200,OK,Thread Group 1-4,text,true,,2027,453,8,8,1598,0,1037
1532000293465,1491,41 /auth/login,200,OK,Thread Group 1-5,text,true,,1771,456,8,8,1491,0,1020
1532000293590,1867,41 /auth/login,400,Bad Request,Thread Group 1-6,text,false,,617,453,8,8,1867,0,1337
1532000293842,1650,41 /auth/login,200,OK,Thread Group 1-8,text,true,,1887,453,8,8,1650,0,1097
1532000293717,1795,41 /auth/login,200,OK,Thread Group 1-7,text,true,,1715,455,8,8,1795,0,1227
1532000294806,792,50 /api/Shipments/getall,200,OK,Thread Group 1-1,text,true,,30852,1085,8,8,541,0,0
1532000294684,954,50 /api/Shipments/getall,200,OK,Thread Group 1-3,text,true,,30852,1183,8,8,709,0,0
1532000295458,273,50 /api/Shipments/getall,401,Unauthorized,Thread Group 1-6,,false,,515,406,8,8,273,0,0
1532000294869,919,50 /api/Shipments/getall,200,OK,Thread Group 1-2,text,true,,30852,1209,8,8,671,0,0
1532000294939,956,50 /api/Shipments/getall,200,OK,Thread Group 1-4,text,true,,30852,1263,8,8,712,0,0
1532000294957,997,50 /api/Shipments/getall,200,OK,Thread Group 1-5,text,true,,30852,1117,8,8,747,0,0
1532000295493,553,50 /api/Shipments/getall,200,OK,Thread Group 1-8,text,true,,30852,1183,8,8,299,0,0
1532000295607,1363,57 /api/Shipments/get/62,200,OK,Thread Group 1-1,text,true,,8767,1104,8,8,1362,0,1041
1532000295641,1342,57 /api/Shipments/get/104,200,OK,Thread Group 1-3,text,true,,2890,1203,8,8,1342,0,1026
1532000295732,1278,57 /api/Shipments/get/,401,Unauthorized,Thread Group 1-6,,false,,515,423,8,8,1278,0,1029
1532000295789,1315,57 /api/Shipments/get/103,200,OK,Thread Group 1-2,text,true,,8660,1229,8,8,1311,0,1018
1532000295897,1353,57 /api/Shipments/get/54,200,OK,Thread Group 1-4,text,true,,5037,1282,8,8,1353,0,1044
1532000297011,266,58 /api/Shipments/get/,401,Unauthorized,Thread Group 1-6,,false,,515,420,8,8,266,0,0
1532000296970,404,58 /api/Shipments/get/62,200,OK,Thread Group 1-1,text,true,,8767,1101,7,7,404,0,0
1532000295955,1427,57 /api/Shipments/get/54,200,OK,Thread Group 1-5,text,true,,5037,1136,6,6,1427,0,1031
1532000296983,408,58 /api/Shipments/get/104,200,OK,Thread Group 1-3,text,true,,2890,1200,6,6,408,0,0
1532000295512,1997,50 /api/Shipments/getall,200,OK,Thread Group 1-7,text,true,,30852,1085,5,5,519,0,0
1532000297105,427,58 /api/Shipments/get/103,200,OK,Thread Group 1-2,text,true,,8660,1226,5,5,422,0,0
1532000297251,388,58 /api/Shipments/get/54,200,OK,Thread Group 1-4,text,true,,5037,1279,4,4,388,0,0
1532000296047,1607,57 /api/Shipments/get/62,200,OK,Thread Group 1-8,text,true,,8767,1202,3,3,1607,0,1147
1532000297383,326,58 /api/Shipments/get/54,200,OK,Thread Group 1-5,text,true,,5037,1133,3,3,325,0,0
1532000297655,307,58 /api/Shipments/get/62,200,OK,Thread Group 1-8,text,true,,8767,1199,2,2,305,0,0
1532000297510,1301,57 /api/Shipments/get/86,200,OK,Thread Group 1-7,text,true,,3983,1104,1,1,1301,0,1028
1532000298813,300,58 /api/Shipments/get/86,200,OK,Thread Group 1-7,text,true,,3983,1101,1,1,300,0,0
