timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1532064392253,19771,41 /auth/login,200,OK,Thread Group 1-1,text,true,,1715,455,2,2,19771,0,19204
1532064392253,19757,41 /auth/login,400,Bad Request,Thread Group 1-2,text,false,,617,455,2,2,19756,0,18052
1532064412115,838,83 /api/Organization/getall,401,Unauthorized,Thread Group 1-2,,false,,515,408,2,2,838,0,504
1532064412954,326,82 /api/Authorities/getall,401,Unauthorized,Thread Group 1-2,,false,,515,407,2,2,326,0,0
1532064413282,257,93 /api/Authorities/getall,401,Unauthorized,Thread Group 1-2,,false,,515,407,2,2,257,0,0
1532064413540,268,94 /api/User/create,401,Unauthorized,Thread Group 1-2,,false,,515,634,2,2,268,0,0
1532064413809,352,95 /api/User/getall,401,Unauthorized,Thread Group 1-2,,false,,515,397,2,2,352,0,0
1532064412114,2244,83 /api/Organization/getall,200,OK,Thread Group 1-1,text,true,,3447,1087,2,2,2243,0,1958
1532064414165,1605,41 /auth/login,200,OK,Thread Group 1-2,text,true,,1715,447,2,2,1605,0,1250
1532064415772,374,83 /api/Organization/getall,200,OK,Thread Group 1-2,text,true,,3447,1087,2,2,374,0,0
1532064416147,293,82 /api/Authorities/getall,200,OK,Thread Group 1-2,text,true,,5040,1086,2,2,292,0,0
1532064416440,1826,93 /api/Authorities/getall,200,OK,Thread Group 1-2,text,true,,5040,1086,2,2,1825,0,1508
1532064418266,865,94 /api/User/create,200,OK,Thread Group 1-2,text,true,,759,1297,2,2,865,0,0
1532064414361,4788,82 /api/Authorities/getall,200,OK,Thread Group 1-1,text,true,,5040,1086,2,2,4788,0,1202
1532064419150,1645,93 /api/Authorities/getall,200,OK,Thread Group 1-1,text,true,,5040,1086,2,2,1645,0,1228
1532064419133,1681,95 /api/User/getall,200,OK,Thread Group 1-2,text,true,,6942,1076,2,2,1681,0,1245
1532064420815,753,41 /auth/login,400,Bad Request,Thread Group 1-2,text,false,,617,1126,2,2,753,0,0
1532064420796,1133,94 /api/User/create,200,OK,Thread Group 1-1,text,true,,761,1297,2,2,1133,0,0
